Trade History Report,,,,,,,,,,,,,,
Name:,,,Chavdar Tzvetkov,,,,,,,,,,,
Account:,,,"7664508 (USD, BenchMark-Server, demo, Hedge)",,,,,,,,,,,
Company:,,,BenchMark Finance AD,,,,,,,,,,,
Date:,,,2026.03.28 10:47,,,,,,,,,,,
Positions,,,,,,,,,,,,,,
Time,Position,Symbol,Type,Volume,Price,S / L,T / P,Time,Price,Commission,Swap,Profit,,
2026.03.27 09:15:17,81993522,USDCHF,buy,0.35, 0.79635, 0.79516, 0.79794,2026.03.27 10:59:00, 0.79662,0.00,0.00, 11.86,,
2026.03.27 09:49:58,81993838,GBPUSD,sell,0.35, 1.33181, 1.33381, 1.32915,2026.03.27 10:59:01, 1.33156,0.00,0.00, 8.75,,
2026.03.27 10:59:02,81994428,USDCHF,buy,0.35, 0.79668, 0.79548, 0.79827,2026.03.27 13:07:21, 0.79735,0.00,0.00, 29.41,,
2026.03.27 10:59:07,81994430,GBPUSD,sell,0.35, 1.33144, 1.33344, 1.32878,2026.03.27 13:07:22, 1.33010,0.00,0.00, 46.90,,
2026.03.27 13:07:24,81995814,USDCHF,buy,0.35, 0.79746, 0.79626, 0.79905,2026.03.27 15:20:58, 0.79625,0.00,0.00,- 53.19,,
2026.03.27 13:07:24,81995815,GBPUSD,sell,0.35, 1.33000, 1.33000, 1.32734,2026.03.27 14:34:49, 1.32732,0.00,0.00, 93.80,,
2026.03.27 14:34:51,81996586,GBPUSD,sell,0.35, 1.32717, 1.32916, 1.32452,2026.03.27 15:30:10, 1.32916,0.00,0.00,- 69.65,,
2026.03.27 17:57:02,81999547,USDCHF,buy,0.35, 0.79704, 0.79704, 0.79863,2026.03.27 20:41:01, 0.79822,0.00,0.00, 51.74,,
2026.03.27 18:50:56,82000306,GBPUSD,sell,0.35, 1.32841, 1.32841, 1.32575,2026.03.27 20:41:02, 1.32699,0.00,0.00, 49.70,,
2026.03.27 20:41:03,82001581,USDCHF,buy,0.35, 0.79833, 0.79713, 0.79993,2026.03.27 20:41:06, 0.79824,0.00,0.00,- 3.95,,
Orders,,,,,,,,,,,,,,
Open Time,Order,Symbol,Type,Volume,Price,S / L,T / P,Time,State,,Comment,,,
2026.03.27 09:15:17,81993522,USDCHF,buy,0.35 / 0.35,market, 0.79516, 0.79794,2026.03.27 09:15:17,filled,,MM BUY 032709151,,,
2026.03.27 09:49:58,81993838,GBPUSD,sell,0.35 / 0.35,market, 1.33381, 1.32915,2026.03.27 09:49:58,filled,,MM SELL 03270949,,,
2026.03.27 10:59:00,81994426,USDCHF,sell,0.35 / 0.35,market,,,2026.03.27 10:59:00,filled,,,,,
2026.03.27 10:59:01,81994427,GBPUSD,buy,0.35 / 0.35,market,,,2026.03.27 10:59:01,filled,,,,,
2026.03.27 10:59:02,81994428,USDCHF,buy,0.35 / 0.35,market, 0.79548, 0.79827,2026.03.27 10:59:02,filled,,MM BUY 032710590,,,
2026.03.27 10:59:07,81994430,GBPUSD,sell,0.35 / 0.35,market, 1.33344, 1.32878,2026.03.27 10:59:07,filled,,MM SELL 03271059,,,
2026.03.27 13:07:21,81995812,USDCHF,sell,0.35 / 0.35,market,,,2026.03.27 13:07:21,filled,,,,,
2026.03.27 13:07:22,81995813,GBPUSD,buy,0.35 / 0.35,market,,,2026.03.27 13:07:22,filled,,,,,
2026.03.27 13:07:24,81995814,USDCHF,buy,0.35 / 0.35,market, 0.79626, 0.79905,2026.03.27 13:07:24,filled,,MM BUY 032713072,,,
2026.03.27 13:07:24,81995815,GBPUSD,sell,0.35 / 0.35,market, 1.33200, 1.32734,2026.03.27 13:07:24,filled,,MM SELL 03271307,,,
2026.03.27 14:34:49,81996585,GBPUSD,buy,0.35 / 0.35, 1.32734,,,2026.03.27 14:34:49,filled,,[tp 1.32734],,,
2026.03.27 14:34:51,81996586,GBPUSD,sell,0.35 / 0.35,market, 1.32916, 1.32452,2026.03.27 14:34:51,filled,,MM SELL 03271434,,,
2026.03.27 15:20:58,81997113,USDCHF,sell,0.35 / 0.35, 0.79626,,,2026.03.27 15:20:58,filled,,[sl 0.79626],,,
2026.03.27 15:30:10,81997220,GBPUSD,buy,0.35 / 0.35, 1.32916,,,2026.03.27 15:30:10,filled,,[sl 1.32916],,,
2026.03.27 17:57:02,81999547,USDCHF,buy,0.35 / 0.35,market, 0.79584, 0.79863,2026.03.27 17:57:02,filled,,MM BUY 032717570,,,
2026.03.27 18:50:56,82000306,GBPUSD,sell,0.35 / 0.35,market, 1.33040, 1.32575,2026.03.27 18:50:56,filled,,MM SELL 03271850,,,
